Date,Location,Season,Days Snowboarded
"Monday, November 18","Eldora Mountain Resort, CO",24-'25,1
"Friday, November 22","Eldora Mountain Resort, CO",24-'25,2
"Thursday, December 05","Eldora Mountain Resort, CO",24-'25,3
"Friday, December 06","Eldora Mountain Resort, CO",24-'25,4
"Tuesday, December 10","Eldora Mountain Resort, CO",24-'25,5
"Thursday, December 19","Eldora Mountain Resort, CO",24-'25,6
"Friday, December 20","Eldora Mountain Resort, CO",24-'25,7
"Sunday, January 05","Eldora Mountain Resort, CO",24-'25,8
"Monday, January 06","Eldora Mountain Resort, CO",24-'25,9
"Saturday, January 18","Copper Mountain, CO",24-'25,10
"Tuesday, January 21","Eldora Mountain Resort, CO",24-'25,11
"Wednesday, January 22","Eldora Mountain Resort, CO",24-'25,12
"Friday, January 24","Eldora Mountain Resort, CO",24-'25,13
"Wednesday, January 29","Eldora Mountain Resort, CO",24-'25,14
"Tuesday, February 04","Eldora Mountain Resort, CO",24-'25,15
"Saturday, February 08","Winter Park Resort, CO",24-'25,16
"Wednesday, February 12","Eldora Mountain Resort, CO",24-'25,17
"Tuesday, February 18","Eldora Mountain Resort, CO",24-'25,18
"Friday, February 21","Eldora Mountain Resort, CO",24-'25,19
"Thursday, March 06","Eldora Mountain Resort, CO",24-'25,20
"Wednesday, March 19","Eldora Mountain Resort, CO",24-'25,21
"Sunday, March 23","Eldora Mountain Resort, CO",24-'25,22
"Saturday, March 29","Eldora Mountain Resort, CO",24-'25,23
"Wednesday, April 2","Breckenridge, CO",24-'25,24
"Friday, April 18","Eldora Mountain Resort, CO",24-'25,25
"Sunday, April 20","Breckenridge, CO",24-'25,26
"Tuesday, May 20","Arapahoe Basin, CO",24-'25,27
"Friday, November 21","Eldora Mountain Resort, CO",25-'26,1
"Wednesday, December 03","Eldora Mountain Resort, CO",25-'26,2
"Monday, December 08","Eldora Mountain Resort, CO",25-'26,3
"Friday, December 12","Eldora Mountain Resort, CO",25-'26,4
"Thursday, January 08","Eldora Mountain Resort, CO",25-'26,5
